"case_id","abbrev","signal_density","group_label"
28,"ACVII",193000,"relapse"
28,"VII",105457.831325,"relapse"
28,"VNC",6500,"relapse"
28,"CN",2146020,"relapse"
28,"B",363000,"relapse"
28,"PCG",1339103.44828,"relapse"
28,"PG",17915533.3333,"relapse"
28,"PRNc",2143156.25,"relapse"
28,"SUT",5313567.16418,"relapse"
28,"TRN",21408225,"relapse"
28,"V",7835914.89362,"relapse"
28,"LC",104000,"relapse"
28,"LDT",12287000,"relapse"
28,"PRNr",6751035.88907,"relapse"
28,"SLC",2713750,"relapse"
28,"SLD",3653518.51852,"relapse"
28,"NLL",2715116.37931,"relapse"
28,"PB",6188897.35099,"relapse"
28,"PSV",3957257.14286,"relapse"
28,"SOC",469788.07947,"relapse"
28,"LHA",13444403.9409,"relapse"
28,"LPO",7378195.43974,"relapse"
28,"PST",21746000,"relapse"
28,"PSTN",25812652.1739,"relapse"
28,"RCH",4456086.95652,"relapse"
28,"STN",14752696.9697,"relapse"
28,"TU",4462200,"relapse"
28,"ZI",12790070.5645,"relapse"
28,"AHN",15124927.5362,"relapse"
28,"MBO",3175705.88235,"relapse"
28,"PH",14735000,"relapse"
28,"PMv",1560000,"relapse"
28,"PVHd",26804800,"relapse"
28,"VMH",1431571.42857,"relapse"
28,"AVP",2858000,"relapse"
28,"DMH",13017000,"relapse"
28,"MPO",4470321.42857,"relapse"
28,"PS",6908166.66667,"relapse"
28,"VLPO",1561100,"relapse"
28,"SO",2235136.36364,"relapse"
28,"ATN",7806492.5816,"relapse"
28,"EPI",5917348.14815,"relapse"
28,"GENv",25569791.6667,"relapse"
28,"ILM",13057265.5172,"relapse"
28,"LAT",9829261.11745,"relapse"
28,"MED",11557345.0704,"relapse"
28,"MTN",25462833.3333,"relapse"
28,"RT",4237016.16162,"relapse"
28,"GENd",8971545.45455,"relapse"
28,"PP",6979285.71429,"relapse"
28,"SPF",11035455.5556,"relapse"
28,"VENT",11290376.5846,"relapse"
28,"CUN",13090228.8136,"relapse"
28,"LT",3751000,"relapse"
28,"MRN",12372111.9221,"relapse"
28,"PRC",31793388.8889,"relapse"
28,"APN",12943175.5725,"relapse"
28,"MPT",17223950,"relapse"
28,"NOT",12991281.25,"relapse"
28,"NPC",28192337.0787,"relapse"
28,"OP",11833964.2857,"relapse"
28,"PPT",19891720,"relapse"
28,"RN",10155727.2727,"relapse"
28,"RR",9203853.65854,"relapse"
28,"SCdg",12456969.0476,"relapse"
28,"SCdw",9084137.2549,"relapse"
28,"SCig",19701593.9197,"relapse"
28,"SCiw",17877003.937,"relapse"
28,"SNr",4505435.07589,"relapse"
28,"VTA",9302937.00787,"relapse"
28,"IC",7098066.41509,"relapse"
28,"MEV",5496636.36364,"relapse"
28,"NB",8162960,"relapse"
28,"PBG",3896275.86207,"relapse"
28,"SAG",9787324.32432,"relapse"
28,"SCop",26267048.0769,"relapse"
28,"SCsg",11983664.7287,"relapse"
28,"PPN",7141962.16216,"relapse"
28,"SNc",6332650,"relapse"
28,"BAC",2628000,"relapse"
28,"BST",13623086.2745,"relapse"
28,"GPe",4387899.4709,"relapse"
28,"GPi",7640980.76923,"relapse"
28,"MSC",2692775.5102,"relapse"
28,"TRS",12135200,"relapse"
28,"MA",2782148.14815,"relapse"
28,"SI",9798408.88889,"relapse"
28,"LS",17933317.6101,"relapse"
28,"SF",23704100,"relapse"
28,"CP",14747274.0076,"relapse"
28,"ACB",20163529.4848,"relapse"
28,"FS",15397634.4828,"relapse"
28,"OT",7183439.82495,"relapse"
28,"AAA",7540821.2766,"relapse"
28,"BA",10210360,"relapse"
28,"CEA",14062140.9266,"relapse"
28,"IA",19604977.0115,"relapse"
28,"MEA",14685741.0562,"relapse"
