"case_id","abbrev","name","signal_density","group_label","category"
28,"ACVII","Accessory facial motor nucleus",193000,"relapse","HB"
28,"VII","Facial motor nucleus",105457.831325,"relapse","HB"
28,"VNC","Vestibular nuclei",6500,"relapse","HB"
28,"CN","Cochlear nuclei",2146020,"relapse","HB"
28,"B","Barrington's nucleus",363000,"relapse","HB"
28,"PCG","Pontine central gray",1339103.44828,"relapse","HB"
28,"PG","Pontine gray",17915533.3333,"relapse","HB"
28,"PRNc","Pontine reticular nucleus, caudal part",2143156.25,"relapse","HB"
28,"SUT","Supratrigeminal nucleus",5313567.16418,"relapse","HB"
28,"TRN","Tegmental reticular nucleus",21408225,"relapse","HB"
28,"V","Motor nucleus of trigeminal",7835914.89362,"relapse","HB"
28,"LC","Locus ceruleus",104000,"relapse","HB"
28,"LDT","Laterodorsal tegmental nucleus",12287000,"relapse","HB"
28,"PRNr","Pontine reticular nucleus",6751035.88907,"relapse","HB"
28,"SLC","Subceruleus nucleus",2713750,"relapse","HB"
28,"SLD","Sublaterodorsal nucleus",3653518.51852,"relapse","HB"
28,"NLL","Nucleus of the lateral lemniscus",2715116.37931,"relapse","HB"
28,"PB","Parabrachial nucleus",6188897.35099,"relapse","HB"
28,"PSV","Principal sensory nucleus of the trigeminal",3957257.14286,"relapse","HB"
28,"SOC","Superior olivary complex",469788.07947,"relapse","HB"
28,"LHA","Lateral hypothalamic area",13444403.9409,"relapse","HY"
28,"LPO","Lateral preoptic area",7378195.43974,"relapse","HY"
28,"PST","Preparasubthalamic nucleus",21746000,"relapse","HY"
28,"PSTN","Parasubthalamic nucleus",25812652.1739,"relapse","HY"
28,"RCH","Retrochiasmatic area",4456086.95652,"relapse","HY"
28,"STN","Subthalamic nucleus",14752696.9697,"relapse","HY"
28,"TU","Tuberal nucleus",4462200,"relapse","HY"
28,"ZI","Zona incerta",12790070.5645,"relapse","HY"
28,"AHN","Anterior hypothalamic nucleus",15124927.5362,"relapse","HY"
28,"MBO","Mammillary body",3175705.88235,"relapse","HY"
28,"PH","Posterior hypothalamic nucleus",14735000,"relapse","HY"
28,"PMv","Ventral premammillary nucleus",1560000,"relapse","HY"
28,"PVHd","Paraventricular hypothalamic nucleus, descending division",26804800,"relapse","HY"
28,"VMH","Ventromedial hypothalamic nucleus",1431571.42857,"relapse","HY"
28,"AVP","Anteroventral preoptic nucleus",2858000,"relapse","HY"
28,"DMH","Dorsomedial nucleus of the hypothalamus",13017000,"relapse","HY"
28,"MPO","Medial preoptic area",4470321.42857,"relapse","HY"
28,"PS","Parastrial nucleus",6908166.66667,"relapse","HY"
28,"VLPO","Ventrolateral preoptic nucleus",1561100,"relapse","HY"
28,"SO","Supraoptic nucleus",2235136.36364,"relapse","HY"
28,"ATN","Anterior group of the dorsal thalamus",7806492.5816,"relapse","TH"
28,"EPI","Epithalamus",5917348.14815,"relapse","TH"
28,"GENv","Geniculate group, ventral thalamus",25569791.6667,"relapse","TH"
28,"ILM","Intralaminar nuclei of the dorsal thalamus",13057265.5172,"relapse","TH"
28,"LAT","Lateral group of the dorsal thalamus",9829261.11745,"relapse","TH"
28,"MED","Medial group of the dorsal thalamus",11557345.0704,"relapse","TH"
28,"MTN","Midline group of the dorsal thalamus",25462833.3333,"relapse","TH"
28,"RT","Reticular nucleus of the thalamus",4237016.16162,"relapse","TH"
28,"GENd","Geniculate group, dorsal thalamus",8971545.45455,"relapse","TH"
28,"PP","Peripeduncular nucleus",6979285.71429,"relapse","TH"
28,"SPF","Subparafascicular nucleus",11035455.5556,"relapse","TH"
28,"VENT","Ventral group of the dorsal thalamus",11290376.5846,"relapse","TH"
28,"CUN","Cuneiform nucleus",13090228.8136,"relapse","MB"
28,"LT","Lateral terminal nucleus of the accessory optic tract",3751000,"relapse","MB"
28,"MRN","Midbrain reticular nucleus",12372111.9221,"relapse","MB"
28,"PRC","Precommissural nucleus",31793388.8889,"relapse","MB"
28,"APN","Anterior pretectal nucleus",12943175.5725,"relapse","MB"
28,"MPT","Medial pretectal area",17223950,"relapse","MB"
28,"NOT","Nucleus of the optic tract",12991281.25,"relapse","MB"
28,"NPC","Nucleus of the posterior commissure",28192337.0787,"relapse","MB"
28,"OP","Olivary pretectal nucleus",11833964.2857,"relapse","MB"
28,"PPT","Posterior pretectal nucleus",19891720,"relapse","MB"
28,"RN","Red nucleus",10155727.2727,"relapse","MB"
