"case_id","abbrev","name","group_label","category","signal_density"
28,"ACVII","Accessory facial motor nucleus","relapse","HB",193000
28,"VII","Facial motor nucleus","relapse","HB",105457.831325
28,"SUV","Superior vestibular nucleus","relapse","HB",6500
28,"VCO","Ventral cochlear nucleus","relapse","HB",2146020
28,"B","Barrington's nucleus","relapse","HB",363000
28,"PCG","Pontine central gray","relapse","HB",1339103.44828
28,"PG","Pontine gray","relapse","HB",17915533.3333
28,"PRNc","Pontine reticular nucleus, caudal part","relapse","HB",2143156.25
28,"SUT","Supratrigeminal nucleus","relapse","HB",5313567.16418
28,"TRN","Tegmental reticular nucleus","relapse","HB",21408225
28,"V","Motor nucleus of trigeminal","relapse","HB",7835914.89362
28,"LC","Locus ceruleus","relapse","HB",104000
28,"LDT","Laterodorsal tegmental nucleus","relapse","HB",12287000
28,"PRNr","Pontine reticular nucleus","relapse","HB",6751035.88907
28,"SLC","Subceruleus nucleus","relapse","HB",2713750
28,"SLD","Sublaterodorsal nucleus","relapse","HB",3653518.51852
28,"NLL","Nucleus of the lateral lemniscus","relapse","HB",2715116.37931
28,"PB","Parabrachial nucleus","relapse","HB",6188897.35099
28,"PSV","Principal sensory nucleus of the trigeminal","relapse","HB",3957257.14286
28,"POR","Superior olivary complex, periolivary region","relapse","HB",474155.555556
28,"SOCl","Superior olivary complex, lateral part","relapse","HB",366712.328767
28,"SOCm","Superior olivary complex, medial part","relapse","HB",691848.484848
28,"LHA","Lateral hypothalamic area","relapse","HY",13444403.9409
28,"LPO","Lateral preoptic area","relapse","HY",7378195.43974
28,"PST","Preparasubthalamic nucleus","relapse","HY",21746000
28,"PSTN","Parasubthalamic nucleus","relapse","HY",25812652.1739
28,"RCH","Retrochiasmatic area","relapse","HY",4456086.95652
28,"STN","Subthalamic nucleus","relapse","HY",14752696.9697
28,"TU","Tuberal nucleus","relapse","HY",4462200
28,"FF","Fields of Forel","relapse","HY",20936363.6364
28,"AHN","Anterior hypothalamic nucleus","relapse","HY",15124927.5362
28,"LM","Lateral mammillary nucleus","relapse","HY",845375
28,"MM","Medial mammillary nucleus","relapse","HY",2967000
28,"SUM","Supramammillary nucleus","relapse","HY",9177875
28,"TM","Tuberomammillary nucleus","relapse","HY",2006444.44444
28,"PH","Posterior hypothalamic nucleus","relapse","HY",14735000
28,"PMv","Ventral premammillary nucleus","relapse","HY",1560000
28,"PVHd","Paraventricular hypothalamic nucleus, descending division","relapse","HY",26804800
28,"VMH","Ventromedial hypothalamic nucleus","relapse","HY",1431571.42857
28,"AVP","Anteroventral preoptic nucleus","relapse","HY",2858000
28,"DMH","Dorsomedial nucleus of the hypothalamus","relapse","HY",13017000
28,"MPO","Medial preoptic area","relapse","HY",4470321.42857
28,"PS","Parastrial nucleus","relapse","HY",6908166.66667
28,"VLPO","Ventrolateral preoptic nucleus","relapse","HY",1561100
28,"SO","Supraoptic nucleus","relapse","HY",2235136.36364
28,"AD","Anterodorsal nucleus","relapse","TH",6718222.22222
28,"AM","Anteromedial nucleus","relapse","TH",8286925.23364
28,"AV","Anteroventral nucleus of thalamus","relapse","TH",8616742.85714
28,"IAD","Interanterodorsal nucleus of the thalamus","relapse","TH",18223750
28,"LD","Lateral dorsal nucleus of thalamus","relapse","TH",6915784.70255
28,"LH","Lateral habenula","relapse","TH",7105553.57143
28,"MH","Medial habenula","relapse","TH",131304.347826
28,"IGL","Intergeniculate leaflet of the lateral geniculate complex","relapse","TH",36614350
28,"LGv","Ventral part of the lateral geniculate complex","relapse","TH",25382878.2609
28,"SubG","Subgeniculate nucleus","relapse","TH",3414666.66667
28,"CL","Central lateral nucleus of the thalamus","relapse","TH",12379511.3636
28,"PCN","Paracentral nucleus","relapse","TH",9956175.67568
28,"PF","Parafascicular nucleus","relapse","TH",15316039.0625
28,"LP","Lateral posterior nucleus of the thalamus","relapse","TH",8136329.08163
28,"PO","Posterior complex of the thalamus","relapse","TH",11178724.3736
28,"POL","Posterior limiting nucleus of the thalamus","relapse","TH",12196514.2857
28,"SGN","Suprageniculate nucleus","relapse","TH",8771181.81818
28,"MD","Mediodorsal nucleus of thalamus","relapse","TH",11777298.5612
28,"PR","Perireunensis nucleus","relapse","TH",83000
28,"SMT","Submedial nucleus of the thalamus","relapse","TH",1622800
28,"PT","Parataenial nucleus","relapse","TH",27589818.1818
28,"PVT","Paraventricular nucleus of the thalamus","relapse","TH",2066000
28,"RT","Reticular nucleus of the thalamus","relapse","TH",4237016.16162
28,"LGd","Dorsal part of the lateral geniculate complex","relapse","TH",11523962.2642
28,"MG","Medial geniculate complex","relapse","TH",5631345.67901
28,"PP","Peripeduncular nucleus","relapse","TH",6979285.71429
28,"SPFp","Subparafascicular nucleus, parvicellular part","relapse","TH",11035455.5556
28,"VAL","Ventral anterior-lateral complex of the thalamus","relapse","TH",8396689.24303
28,"VM","Ventral medial nucleus of the thalamus","relapse","TH",4968388.88889
28,"VP","Ventral posterior complex of the thalamus","relapse","TH",14257757.3171
28,"CUN","Cuneiform nucleus","relapse","MB",13090228.8136
28,"LT","Lateral terminal nucleus of the accessory optic tract","relapse","MB",3751000
28,"MRN","Midbrain reticular nucleus","relapse","MB",12372111.9221
28,"PRC","Precommissural nucleus","relapse","MB",31793388.8889
28,"APN","Anterior pretectal nucleus","relapse","MB",12943175.5725
28,"MPT","Medial pretectal area","relapse","MB",17223950
28,"NOT","Nucleus of the optic tract","relapse","MB",12991281.25
28,"NPC","Nucleus of the posterior commissure","relapse","MB",28192337.0787
28,"OP","Olivary pretectal nucleus","relapse","MB",11833964.2857
28,"PPT","Posterior pretectal nucleus","relapse","MB",19891720
28,"RN","Red nucleus","relapse","MB",10155727.2727
28,"RR","Midbrain reticular nucleus, retrorubral area","relapse","MB",9203853.65854
28,"SCdg","Superior colliculus, motor related, deep gray layer","relapse","MB",12456969.0476
28,"SCdw","Superior colliculus, motor related, deep white layer","relapse","MB",9084137.2549
28,"SCig-a","Superior colliculus, motor related, intermediate gray layer, sublayer a","relapse","MB",20196000
28,"SCig-b","Superior colliculus, motor related, intermediate gray layer, sublayer b","relapse","MB",17803426.5734
28,"SCig-c","Superior colliculus, motor related, intermediate gray layer, sublayer c","relapse","MB",27418833.3333
28,"SCiw","Superior colliculus, motor related, intermediate white layer","relapse","MB",17877003.937
28,"SNr","Substantia nigra, reticular part","relapse","MB",4505435.07589
28,"VTA","Ventral tegmental area","relapse","MB",9302937.00787
28,"IC","Inferior colliculus","relapse","MB",7098066.41509
28,"MEV","Midbrain trigeminal nucleus","relapse","MB",5496636.36364
28,"NB","Nucleus of the brachium of the inferior colliculus","relapse","MB",8162960
28,"PBG","Parabigeminal nucleus","relapse","MB",3896275.86207
28,"SAG","Nucleus sagulum","relapse","MB",9787324.32432
